"line","song_lyrics_url","song_name","artist_name"
"(Is that Kendrick on the phone?)","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Yo' daddy hollerin' about some damn dominoes","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"He want to holler at you too","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Go 'head, Kenny, go! Shit","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"(Hello? Yeah, where my motherfuckin' dominoes at?)","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Kenny! (What?) You on his voicemail! Damn fool (Oh) Shit!","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"(K, where my motherfuckin' dominoes at?","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"This the second time I ask you to bring my fuckin' dominoes!)","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Kenny, give me the damn phone, shit. Don’t hang up! Damn!","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"(Keep losin' my goddamn dominoes, we gon' have to go in the backyard and squab, homie)","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Just let me—Kendrick","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"When you get this message, man, call me back","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I need to know when you gon' bring back my damn car","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
